"participants","SIC_primary","date_announced","date_terminated","business_description","participant_nation","alliance_deal_name","alliance_SIC_code","alliance_nation","status","type","ownership_structure","deal_number"
"dell inc",3571,"2010-01-04",NA,"Manufacture,wholesale computer","United States","DELL INC/INFOBIRD- STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2175177045
"ibm corp",3571,"2010-01-12",NA,"Manufacture computer products","United States","SNCF/IBM CORP- JOINT VENTURE","7376","France","Completed/Signed","Joint Venture",49,2174224045
"panasonic computer solutions",3571,"2010-01-13",NA,"Mnfr notebook computers","United States","PANASONIC COMPUTER SOLUTIONS CO/TRACEWELL SYSTEMS INC- STRATEGIC ALLIANCE","7372","United States","Completed/Signed","Strategic Alliance",NA,2173817045
"shanghai aerospace automobile",3663,"2010-03-31",NA,"Mnfr,whl energy prod,auto part","China","SHANGHAI AEROSPACE AUTOMOBILE ELECTROMECHANICAL/HIMIN SOLAR ENERGY GROUP CO~LTD-JOINT VENTURE","499A","Spain","Completed/Signed","Joint Venture",90,2579954045
"telefonaktiebolaget lm",4812,"2010-04-21",NA,"Provides telecommunications services","Sweden","ERICSSON/LG ELECTRONICS INC- JOINT VENTURE","4812","South Korea","Completed/Signed","Joint Venture",50,2179891045
"ibm corp",3571,"2010-05-05",NA,"Manufacture computer products","United States","IBM /TEXAS TRANSPORTATION INSTITUTE- STRATEGIC ALLIANCE","8748","United States","Completed/Signed","Strategic Alliance",NA,2181253045
"siemens ag",3663,"2010-05-19",NA,"Manufactures and wholesales telecommunications equipment","Germany","SIEMENS AG/ZAO ISKRA-AVIGAZ -LCC RUSSIAN TURBO MACHINERY JOINT VENTURE","3563","Russian Fed","Completed/Signed","Joint Venture",51,2185185045
"nokia oyj",3663,"2010-05-24",NA,"Mnfr network infrastructure products","Finland","NOKIA OYJ/YAHOO! INC- STRATEGIC ALLIANCE","7379","Supranational","Completed/Signed","Strategic Alliance",NA,2186277045
"founder group corp",3571,"2010-05-27",NA,"Mnfr,whl electronic computers","China","ACER INC/FOUNDER GROUP-STRATEGIC ALLIANCE","3571","China","Completed/Signed","Strategic Alliance",NA,2440524045
"smart hub inc",4812,"2010-06-09",NA,"Pvd telecommunications svcs","Philippines","MASTERCARD INC/SMART HUB INC- JOINT VENTURE","7374","United States","Completed/Signed","Joint Venture",50,2191126045
"applied signal technology inc",3663,"2010-07-29",NA,"Mnfr,whl signal equipment","United States","APPLIED SIGNAL TECHNOLOGY INC/HARRIS(DNU)- STRATEGIC ALLIANCE","3812","Supranational","Completed/Signed","Strategic Alliance",NA,2207084045
"samsung electronics co ltd",3663,"2010-08-10",NA,"Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","South Korea","SAMSUNG ELECTRONICS CO LTD/NANOSYS INC- STRATEGIC ALLIANCE","3674","Supranational","Completed/Signed","Strategic Alliance",NA,2210746045
"hewlett packard co",3571,"2010-08-31",NA,"Mnfr,whl computer equipment","United States","HYNIX SEMICONDUCTOR CORP(DNU)/HP(DNU)- STRATEGIC ALLIANCE","3674","Supranational","Completed/Signed","Strategic Alliance",NA,2216122045
"telefonaktiebolaget lm",4812,"2010-09-07",NA,"Provides telecommunications services","Sweden","TELEFONAKTIEBOLAGET LM ERICSSON/MOTOROLA(DNU)- STRATEGIC ALLIANCE","3663","Supranational","Completed/Signed","Strategic Alliance",NA,2218334045
"motorola solutions inc",3663,"2010-09-07",NA,"Manufactures integrated communication products","United States","TELEFONAKTIEBOLAGET LM ERICSSON/MOTOROLA(DNU)- STRATEGIC ALLIANCE","3663","Supranational","Completed/Signed","Strategic Alliance",NA,2218334045
"nokia oyj",3663,"2010-09-15",NA,"Mnfr network infrastructure products","Finland","INTUIT(DNU)/NOKIA OYJ- STRATEGIC ALLIANCE","3663","Supranational","Completed/Signed","Strategic Alliance",NA,2220346045
